,image_name,prob1,prob2,prob3,prob4,prob5,target1,target2,target3,target4,target5,correct_prob1,correct_prob2,correct_prob3,correct_prob4,correct_prob5,confidence_mean
4678,1107300070002.jpg,0.043804616,0.094918326,0.17987083,0.43234462,0.2847597,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.43234462,0.0,0.43234461545944214
5313,1300764690002.jpg,0.030789023,0.05930739,0.12605469,0.42995715,0.30014023,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42995715,0.0,0.42995715141296387
9712,1901602590003.jpg,0.06416844,0.1342158,0.23144615,0.42949265,0.32542393,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42949265,0.0,0.42949265241622925
9992,1903431690004.jpg,0.051486373,0.09580469,0.17126864,0.42851064,0.3673339,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42851064,0.0,0.4285106360912323
10408,1907087290004.jpg,0.055189587,0.11647911,0.20287424,0.4267277,0.37323472,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4267277,0.0,0.4267277121543884
2159,0405563950001.jpg,0.04985895,0.10778147,0.18574399,0.4249844,0.36191475,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4249844,0.0,0.4249843955039978
13444,2003279070002.jpg,0.060310457,0.13379747,0.24461508,0.42450523,0.34668714,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42450523,0.0,0.42450523376464844
11314,2001134830001.jpg,0.023218913,0.050019123,0.13094376,0.42372227,0.25719142,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42372227,0.0,0.4237222671508789
5315,1300764690004.jpg,0.027941221,0.056457426,0.12440802,0.4233289,0.30309975,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4233289,0.0,0.4233289062976837
14919,2006165290006.jpg,0.028531756,0.06338089,0.12678501,0.3929301,0.42282712,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42282712,0.4228271245956421
11849,2001511050002.jpg,0.025719255,0.055061355,0.13118827,0.40135527,0.4226318,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4226318,0.42263180017471313
6398,1405110690001.jpg,0.034510296,0.0637936,0.117661215,0.4205179,0.37701347,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4205179,0.0,0.4205178916454315
3699,0803409470004.jpg,0.04017569,0.08347094,0.1426783,0.42047507,0.31699368,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.42047507,0.0,0.4204750657081604
15292,2007531590002.jpg,0.065975554,0.12660001,0.17987302,0.45575312,0.38335636,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.45575312,0.38335636,0.419554740190506
13448,2003279070006.jpg,0.08205113,0.15403184,0.20111683,0.41828597,0.2976022,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.41828597,0.0,0.41828596591949463
9174,1805608290002.jpg,0.0283488,0.057258375,0.13533863,0.4179178,0.33238283,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4179178,0.0,0.41791778802871704
8720,1801171950001.jpg,0.021066058,0.049670123,0.13253939,0.42447668,0.41752177,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.41752177,0.41752177476882935
9710,1901602590001.jpg,0.05608198,0.122182086,0.18289803,0.41682398,0.32748342,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.41682398,0.0,0.41682398319244385
6552,1407706390003.jpg,0.04417443,0.089491114,0.15512279,0.416647,0.3410576,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.416647,0.0,0.4166469871997833
12068,2001711870002.jpg,0.06526327,0.123883724,0.20335475,0.45699656,0.37199807,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.45699656,0.37199807,0.4144973158836365
5318,1300764690007.jpg,0.032325346,0.053542927,0.10500346,0.41278505,0.30475968,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.41278505,0.0,0.41278505325317383
10840,2000623530001.jpg,0.030824602,0.06279859,0.13544567,0.46188948,0.3632136,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.46188948,0.3632136,0.41255153715610504
8505,1708252290005.jpg,0.049420558,0.09916811,0.14420289,0.41219532,0.34945336,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.41219532,0.0,0.4121953248977661
11220,2001023630003.jpg,0.0409884,0.09756464,0.15648286,0.41211736,0.35703823,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.41211736,0.0,0.4121173620223999
4931,1201487790001.jpg,0.03207208,0.06667708,0.13356146,0.4113058,0.33643037,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4113058,0.0,0.4113057851791382
9358,1807784890004.jpg,0.04224913,0.086472705,0.16078907,0.41126347,0.3333822,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.41126347,0.0,0.41126346588134766
10470,1908015090004.jpg,0.05160553,0.10351917,0.17728263,0.41108915,0.3220535,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.41108915,0.0,0.411089152097702
12981,2002698590002.jpg,0.032409955,0.06396705,0.12528631,0.41091266,0.27844113,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.41091266,0.0,0.4109126627445221
9989,1903431690001.jpg,0.03465492,0.074055195,0.14484942,0.4105366,0.36612034,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4105366,0.0,0.41053658723831177
14650,2005198790004.jpg,0.03961106,0.07536596,0.13669872,0.33740285,0.40948308,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.40948308,0.40948307514190674
5314,1300764690003.jpg,0.03266558,0.06472472,0.14127651,0.40911835,0.32851595,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.40911835,0.0,0.4091183543205261
1479,0205337370004.jpg,0.05813721,0.12647374,0.17984319,0.41946968,0.3981423,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.41946968,0.3981423,0.4088059961795807
8504,1708252290004.jpg,0.038662054,0.0763275,0.14414848,0.40864927,0.3813962,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.40864927,0.0,0.4086492657661438
15055,2006621290002.jpg,0.03318008,0.06878428,0.1297011,0.40796268,0.2955464,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.40796268,0.0,0.4079626798629761
6981,1503878490002.jpg,0.035691053,0.07228159,0.1334756,0.326319,0.4079518,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4079518,0.40795180201530457
15242,2007325790002.jpg,0.077209845,0.15745756,0.20832318,0.40712634,0.35902762,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.40712634,0.0,0.4071263372898102
12834,2002480630002.jpg,0.046774417,0.10716455,0.18160722,0.40706635,0.27179018,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.40706635,0.0,0.40706634521484375
6741,1501348890002.jpg,0.046681307,0.094448745,0.1891416,0.43703634,0.37655172,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.43703634,0.37655172,0.4067940264940262
4749,1200292190003.jpg,0.04002794,0.08423481,0.15004362,0.4066803,0.34244198,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4066803,0.0,0.40668028593063354
13051,2002749690002.jpg,0.053692702,0.09707919,0.16651595,0.39228377,0.420489,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.39228377,0.420489,0.4063863903284073
8503,1708252290003.jpg,0.056363292,0.102750614,0.15632902,0.40630513,0.37490383,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.40630513,0.0,0.40630513429641724
5316,1300764690005.jpg,0.03667177,0.065499656,0.12629096,0.4059667,0.2838687,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4059667,0.0,0.40596669912338257
6265,1403508490001.jpg,0.04718732,0.10896389,0.18960978,0.4059492,0.29669634,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4059492,0.0,0.405949205160141
4680,1107300070004.jpg,0.022396678,0.047400117,0.10997805,0.40568286,0.2609435,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.40568286,0.0,0.40568286180496216
2134,0404980450002.jpg,0.079102054,0.15333387,0.20634954,0.43256623,0.37606716,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.43256623,0.37606716,0.4043166935443878
13830,2003811970003.jpg,0.03638398,0.07312329,0.16116837,0.43430114,0.37356383,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.43430114,0.37356383,0.40393248200416565
10462,1907967190002.jpg,0.034812286,0.06701182,0.12058082,0.40288478,0.41374522,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.40288478,0.0,0.4028847813606262
15343,2007646890004.jpg,0.03551283,0.07241742,0.14467385,0.4181884,0.40281203,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.40281203,0.40281203389167786
2719,0508630250006.jpg,0.10267444,0.18658316,0.20693152,0.40272605,0.32369712,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.40272605,0.0,0.40272605419158936
3752,0806543570002.jpg,0.030478403,0.060139164,0.12940416,0.4066359,0.3986647,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4066359,0.3986647,0.40265031158924103
14996,2006363990003.jpg,0.04532051,0.08174147,0.14546287,0.4318966,0.3718506,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4318966,0.3718506,0.4018736034631729
10849,2000624450004.jpg,0.03204216,0.074548334,0.16171658,0.41988677,0.383658,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.41988677,0.383658,0.4017723798751831
7850,1608469590005.jpg,0.043381147,0.08583873,0.14674056,0.40152708,0.2404142,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.40152708,0.0,0.40152707695961
14975,2006246390003.jpg,0.032120835,0.059424605,0.13178459,0.43582827,0.40090644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.40090644,0.40090644359588623
6835,1502140790002.jpg,0.036800228,0.06135664,0.1043805,0.39398974,0.4073624,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.39398974,0.4073624,0.40067607164382935
1762,0303426250005.jpg,0.028980948,0.060656667,0.119379,0.2869414,0.40064192,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.40064192,0.40064191818237305
2133,0404980450001.jpg,0.030128658,0.061200544,0.15247655,0.44104046,0.3598653,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.44104046,0.3598653,0.4004528820514679
9711,1901602590002.jpg,0.04879482,0.098756805,0.17081583,0.4001907,0.32712096,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4001907,0.0,0.40019071102142334
14649,2005198790003.jpg,0.05041504,0.09001667,0.13524193,0.336032,0.39997047,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39997047,0.39997047185897827
11221,2001023630004.jpg,0.029770516,0.07373943,0.14818445,0.39958975,0.2629641,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39958975,0.0,0.39958974719047546
13275,2003081090003.jpg,0.025052277,0.05133927,0.14038636,0.3916139,0.4070421,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3916139,0.4070421,0.39932799339294434
15398,2007861590003.jpg,0.030526549,0.05513034,0.10644046,0.399093,0.28239077,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.399093,0.0,0.39909300208091736
4366,1007169470002.jpg,0.048940286,0.090678275,0.13945556,0.3989925,0.284475,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3989925,0.0,0.39899250864982605
2715,0508630250002.jpg,0.10954445,0.18830377,0.20897475,0.39885974,0.28964195,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39885974,0.0,0.39885973930358887
13517,2003322090001.jpg,0.03897616,0.07772162,0.1340462,0.3987387,0.31679362,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3987387,0.0,0.39873871207237244
13050,2002749690001.jpg,0.050493896,0.09386781,0.15368192,0.39927292,0.39786783,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.39927292,0.39786783,0.39857037365436554
569,0063871670003.jpg,0.03698168,0.08281687,0.14473146,0.47109938,0.3259309,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.47109938,0.3259309,0.39851513504981995
12614,2002293930005.jpg,0.03631113,0.07016712,0.14312816,0.36169535,0.39782506,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39782506,0.39782506227493286
10842,2000623530003.jpg,0.03903904,0.06808451,0.11522542,0.44274434,0.35264623,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.44274434,0.35264623,0.39769528806209564
10467,1908015090001.jpg,0.037290864,0.07725038,0.14238256,0.39765102,0.34131682,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39765102,0.0,0.3976510167121887
8781,1801966570004.jpg,0.051687535,0.10704045,0.17710198,0.3976341,0.28974912,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3976341,0.0,0.3976340889930725
4750,1200292190004.jpg,0.041498043,0.09008655,0.15937147,0.39740804,0.3303766,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39740804,0.0,0.39740803837776184
7860,1608789190004.jpg,0.060322724,0.10095319,0.14396605,0.39719498,0.3000734,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39719498,0.0,0.3971949815750122
12980,2002698590001.jpg,0.050142173,0.11319731,0.17784733,0.39700273,0.31749108,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39700273,0.0,0.3970027267932892
1478,0205337370003.jpg,0.051988617,0.098851256,0.16585924,0.40117595,0.39095026,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.40117595,0.39095026,0.39606310427188873
10845,2000623530006.jpg,0.030507086,0.06490044,0.17259802,0.47273833,0.31924328,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.47273833,0.31924328,0.3959908038377762
1477,0205337370002.jpg,0.055760052,0.101386905,0.17328936,0.4115396,0.38013017,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4115396,0.38013017,0.39583489298820496
4367,1007169470003.jpg,0.07617022,0.15668845,0.20065205,0.39549983,0.34776267,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39549983,0.0,0.3954998254776001
10607,2000287150001.jpg,0.026759744,0.0564799,0.12695442,0.39542434,0.3244396,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39542434,0.0,0.39542433619499207
9608,1900937590003.jpg,0.033497415,0.058679804,0.11860703,0.3952604,0.3430053,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3952604,0.0,0.39526039361953735
11852,2001511050005.jpg,0.027862271,0.065039985,0.124138266,0.34837925,0.39497226,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39497226,0.3949722647666931
16709,9300623130003.jpg,0.0720308,0.16763735,0.28244245,0.5095892,0.3948483,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3948483,0.3948482871055603
5363,1301103990001.jpg,0.04447094,0.08808768,0.1379492,0.31207106,0.3947391,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3947391,0.3947390913963318
14648,2005198790002.jpg,0.044932306,0.08200054,0.12010314,0.28795388,0.3947347,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3947347,0.3947347104549408
7357,1601345030004.jpg,0.024999749,0.045966238,0.10255742,0.32846168,0.39469838,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39469838,0.3946983814239502
8129,1701660890002.jpg,0.035462,0.06691249,0.13236688,0.39453813,0.2413402,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39453813,0.0,0.39453813433647156
15116,2006910090003.jpg,0.04402311,0.086471416,0.16367483,0.35892636,0.3945039,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3945039,0.3945038914680481
8003,1700485390003.jpg,0.03701149,0.08112883,0.16495962,0.39441228,0.32777423,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39441228,0.0,0.3944122791290283
4748,1200292190002.jpg,0.02694342,0.05647108,0.1492227,0.3943369,0.30800158,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3943369,0.0,0.39433690905570984
5597,1304369090004.jpg,0.061203904,0.12377098,0.22178736,0.41877216,0.3698504,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.41877216,0.3698504,0.3943112790584564
120,0002320430001.jpg,0.020499304,0.043722775,0.10705526,0.33488086,0.39397928,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39397928,0.3939792811870575
7859,1608789190003.jpg,0.07274111,0.13439654,0.17282143,0.3938112,0.33931983,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3938112,0.0,0.3938111960887909
9350,1807748990003.jpg,0.054472443,0.107313156,0.16771658,0.3991261,0.39320636,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39320636,0.3932063579559326
7847,1608469590002.jpg,0.029688597,0.054868877,0.116800815,0.39318186,0.33393472,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39318186,0.0,0.39318186044692993
9841,1902314090001.jpg,0.04644776,0.09031621,0.1764552,0.39292437,0.30905977,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39292437,0.0,0.39292436838150024
8501,1708252290001.jpg,0.04260951,0.09751582,0.16485459,0.392918,0.32150012,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.392918,0.0,0.3929179906845093
6837,1502140790004.jpg,0.033488516,0.06889668,0.13697532,0.3905384,0.39489242,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.3905384,0.39489242,0.3927154093980789
15245,2007325790005.jpg,0.086141825,0.14776808,0.18669291,0.39264464,0.32802618,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39264464,0.0,0.39264464378356934
7813,1607679490001.jpg,0.044304416,0.094407804,0.16371217,0.39264095,0.32714665,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39264095,0.0,0.39264094829559326
10609,2000287150003.jpg,0.029754348,0.06610966,0.13572843,0.39195263,0.3289917,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39195263,0.0,0.39195263385772705
7687,1604893090001.jpg,0.05082355,0.10612068,0.17512952,0.39185417,0.29381615,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39185417,0.0,0.3918541669845581
14733,2005490590002.jpg,0.020273417,0.045644674,0.12042978,0.40750343,0.3755663,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.40750343,0.3755663,0.39153486490249634
12983,2002698590004.jpg,0.038464457,0.082089074,0.13077648,0.39152065,0.29260615,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39152065,0.0,0.3915206491947174
8506,1708252290006.jpg,0.063293435,0.10168992,0.13472795,0.3914018,0.3044323,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3914018,0.0,0.3914017975330353
13058,2002752030003.jpg,0.028698757,0.07021669,0.1473681,0.39124948,0.24937838,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39124948,0.0,0.39124947786331177
17253,9608102450005.jpg,0.03455908,0.087575,0.18605304,0.3912446,0.25886926,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3912446,0.0,0.3912445902824402
6983,1503878490004.jpg,0.019342843,0.035927102,0.09554474,0.31217355,0.39110714,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39110714,0.39110714197158813
6553,1407706390004.jpg,0.029090252,0.06157872,0.1326053,0.390941,0.26249167,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.390941,0.0,0.39094099402427673
12611,2002293930002.jpg,0.020968327,0.04299652,0.104800686,0.3315935,0.39072463,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39072463,0.39072462916374207
2172,0405715370002.jpg,0.030921549,0.06642304,0.16417807,0.39061648,0.28548226,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.39061648,0.0,0.3906164765357971
10632,2000379470001.jpg,0.023039486,0.049403634,0.12744416,0.40769234,0.3732237,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.40769234,0.3732237,0.39045801758766174
5595,1304369090002.jpg,0.061002657,0.11393565,0.20663275,0.4348935,0.34381202,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4348935,0.34381202,0.3893527537584305
8725,1801171950006.jpg,0.020582572,0.046226062,0.14544955,0.38937342,0.38921624,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.38921624,0.38921624422073364
3697,0803409470002.jpg,0.031043753,0.05906365,0.1159487,0.38896865,0.35007212,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.38896865,0.0,0.38896864652633667
15295,2007558790003.jpg,0.059856437,0.09835452,0.13654907,0.34470537,0.38848644,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.38848644,0.38848644495010376
13446,2003279070004.jpg,0.07642546,0.1398282,0.18748407,0.38832876,0.25322807,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.38832876,0.0,0.38832876086235046
15054,2006621290001.jpg,0.03554112,0.089318916,0.16670415,0.3883254,0.29891422,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3883254,0.0,0.38832539319992065
8308,1703854890006.jpg,0.04507558,0.07561839,0.12580742,0.38823122,0.28508613,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.38823122,0.0,0.38823121786117554
6322,1404218090001.jpg,0.03462948,0.07218902,0.12957221,0.38821584,0.2682737,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.38821584,0.0,0.3882158398628235
5256,1300220290002.jpg,0.0600868,0.12224123,0.2275494,0.4394473,0.33682987,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4394473,0.33682987,0.3881385922431946
4094,1000352450002.jpg,0.023544535,0.058671117,0.15035631,0.38778612,0.23125334,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.38778612,0.0,0.3877861201763153
6269,1403508490005.jpg,0.09586175,0.1828829,0.22461648,0.38770747,0.2914741,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.38770747,0.0,0.3877074718475342
8743,1801467350006.jpg,0.042719603,0.08229829,0.12621832,0.41778815,0.3571981,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.41778815,0.3571981,0.3874931186437607
6740,1501348890001.jpg,0.039712235,0.07717926,0.14032952,0.41125527,0.36351278,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.41125527,0.36351278,0.3873840272426605
13853,2003853290001.jpg,0.044179734,0.093016565,0.17284867,0.3873486,0.30195993,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3873486,0.0,0.38734859228134155
14264,2004444990003.jpg,0.042552087,0.076878026,0.13805598,0.33870915,0.38733253,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.38733253,0.3873325288295746
10812,2000606950001.jpg,0.052384965,0.10955773,0.24558538,0.5143438,0.38714132,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.38714132,0.38714131712913513
3701,0803409470006.jpg,0.028957106,0.05738721,0.10480885,0.38687956,0.32264382,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.38687956,0.0,0.386879563331604
15243,2007325790003.jpg,0.07543961,0.14502393,0.19703181,0.3865713,0.33010173,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.3865713,0.0,0.3865712881088257
